ExperimentName	DisplayRunNumber	HCPID	Subject	Session	RandomSeed	Group	Display.RefreshRate	triggercode	Allowed	Target	Nontarget	FontStyle	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	MasterList	Procedure[Block]	Stimulus[Block]	BlockNumber	MasterList.Cycle	MasterList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Run2Block1	Run2Block2	Run2Block3	Run2Block4	Run2Block5	Run2Block6	Run2Block7	Run2Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	Trial
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_006_TOOL6_BA.png	1	1	9	MasterList										7	nontarget	8	Tools	0-Back	-2	97203	2	97910	1	707	8	8	-2	99203	2																						9											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_006_TOOL6_BA.png	1	1	10	MasterList										8	lure	8	Tools	0-Back	-3	99702	3	100350	1	648	8	8	-3	101702	3																						10											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_003_TOOL3_BA.png	1	1	11	MasterList										9	lure	8	Tools	0-Back	-3	102202	3	102974	1	772	8	8	-3	104202	3																						11											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_002_TOOL2_BA.png	1	1	12	MasterList										10	nontarget	8	Tools	0-Back	-3	104702	3	105453	1	751	8	8	-3	106702	3																						12											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	4	Cue2BackPROC	?	2	1	13	MasterList																										-3	107202	3																			13											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_002_F1.png	2	1	14	MasterList											nontarget	8	Face	2-Back	-3	109702	3	110238	1	536	8	8	-3	111702	3				1																		14											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_001_M1.png	2	1	15	MasterList											nontarget	8	Face	2-Back	-3	112202	3	112772	1	570	8	8	-3	114202	3				2																		15											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_006_F3.png	2	1	16	MasterList											nontarget	8	Face	2-Back	-3	114702	3	115549	1	847	8	8	-3	116702	3				3																		16											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_001_M1.png	2	1	17	MasterList											target	7	Face	2-Back	-3	117202	3	117934	1	732	7	7	-4	119201	4				4																		17											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_005_M3.png	2	1	18	MasterList											nontarget	8	Face	2-Back	-4	119701	4	120669	1	968	8	8	-4	121701	4				5																		18											
